V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,SC0_0,SC0_1,SC0_2,SC1_0,SC1_1,SC1_2,SC2_0,SC2_1,SC2_2,SC3_0,SC3_1,SC3_2,Pilot,Country,State,Cond,consent,ins2,PrimeIntro,HighPower,LowPower,VizTimer_1,VizTimer_2,VizTimer_3,VizTimer_4,HighPrompt,LowPrompt,Essay,WriteTimer_1,WriteTimer_2,WriteTimer_3,WriteTimer_4,AIinstrux,AI01energe,AI02moving,AI03nap,AI04workou,AI05rest,AI06work,AI07relax,WVStrust_1,WVStrust_2,WVStrust_3,WVStrust_4,WVStrust_5,WVStrust_6,TrustIntro,TrustGame_1,TrustResul,IRIintro,IRI01,IRI02,IRI03,IRI04,IRI05,IRI06,IRI07,RMEintro,RME01,RME02,RME03,RME04,RME05,RME06,RME07,RME08,RME09,RME10,subSES,usses,IMC,demo,gender,age,citizen,religion,ethnic2,ethnic2_TEXT,epo,youred,yyour,end,Debrief,Deb1,Deb2,Deb3,debrief,Q82,goforcode,errors,confusing,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Action-sum,Action-weightedAvg,Action-weightedStdDev,IRIpt-sum,IRIpt-weightedAvg,IRIpt-weightedStdDev,WVStrust-sum,WVStrust-weightedAvg,WVStrust-weightedStdDev,REMinf-sum,REMinf-weightedAvg,REMinf-weightedStdDev,Pilot,Country,State,Cond,Yale University Verbal/Online Informed Consent Script for Participation in a Research Study     H...,Welcome to the study! / We are interested in the relationships among many different things. / You wil...,"On the next page, we will ask you to / complete a visualization exercise. You will be asked to reca...",Please recall a particular incident in which you had power over / another individual or individuals...,"Please recall a particular incident in which someone else had / power over you. By power, we mean a...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Please describe this situation in which you had power—what / happened, how you felt, etc.","Please describe this situation in which someone had power over / you—what happened, how you felt, e...", ,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please read the statements below. Think about how you feel at this moment. Rate your responses on...,I am feeling energetic.,I feel like moving.,"If I could, I would gladly take a nap after this study.","If I could, I would go work out after this study.",I want to get some rest.,"Right now, I am motivated to get a lot of work done.",My goal right now is to relax as much as possible.,We‘d like to ask you how much you trust people from various groups. Please tell us for each of th...-Your family,We‘d like to ask you how much you trust people from various groups. Please tell us for each of th...-Your neighborhood,We‘d like to ask you how much you trust people from various groups. Please tell us for each of th...-People you know personally,We‘d like to ask you how much you trust people from various groups. Please tell us for each of th...-People you meet for the first time,We‘d like to ask you how much you trust people from various groups. Please tell us for each of th...-People of another religion,We‘d like to ask you how much you trust people from various groups. Please tell us for each of th...-People of another nationality,"This next activity involves tickets to win the raffle for $50. Remember, the more tickets you hav...",You have been given 1000 raffle tickets. How many of these tickets will you give to Other? Rememb...-Tickets,You gave ${q://QID307/ChoiceNumericEntryValue/1} of your tickets to Other. This number was triple...,Please read each of the following statements carefully and consider how well or poorly it describ...,"I find it difficult to see things from the ""other guy's"" point of view.",I'd want to look at everybody's side of a disagreement before I make a decision.,I try to understand my friends better by imagining how things look from their perspective.,"If I'm sure I'm right about something, I wouldn't waste much time listening to other people's arg...",I believe that there are two sides to every question and try to look at them both.,"If I'm upset at someone, I'd try to ""put myself in his shoes"" for a while. ","Before criticizing somebody, I'd try to imagine how I would feel if I were in their place. ","For each set of eyes on the following pages, choose which word best describes what the person in...", , , , , , , , , , ,"Finally, we would like you to find out about your perceptions of where you stand in society.","While answering the following questions, please think of this ladder.   Think of a ladder with 10...","While answering the following questions, please think of this ladder.   Please select ""1 - Bottom...",We would like to /  collect some demographic information about you.,What is your gender?,What is your age?,What is your country of citizenship?,What is your religious affiliation?,Which ethnicity do you identify with most?,Which ethnicity do you identify with most?-TEXT,How would you describe your political orientation?,What is the education you completed?,What is your approximate annual income?,"You have come to the end of the study. Please proceed to the next / page to read the study debriefing. After which, you will receive a / payment code for your participation.",Thanks for completing the study! We / would appreciate your feedback about your experience in the / study.,"In as much detail as possible, please describe what you think the purpose of this study may be. I...",Do you think that the essay you wrote affected your answers to any of the questions in the study?...,Do you have any additional thoughts or comments about the study?,"Raffle Information /    /  /  During the survey, you were told that you were paired with /  another parti...",Debriefing   Our goal in this study is to examine how strongly people associate different concept...,*Please proceed to the next page to receive your payment /  code.,Thank you for taking our pilot survey! Your feedback will help us design better studies. Please a...,Were any of the instructions or questions confusing?,Do you have any other comments or suggestions?,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1LBTKpY0r8dKZOz,Live,Anonymous,,,107.188.221.6,0,2016-01-11 10:13:14,2016-01-11 10:20:01,1,19,2.7142857142857,0.48795003647427,29,4.1428571428571,0.37796447300923,11,1.8333333333333,0.75277265270908,8,0.8,0.42163702135578,,United States,MO,1,1,1,1,1,,0,0,60.006,0,1,,"I had to speak with someone about missing work often and gave them their ""last chance"". It was empowering, but I felt really bad because I was able to put myself in their shoes. The look on their face was absolutely horrifying to me. ",1.07,1.07,48.063,1,1,21,21,23,21,24,21,24,1,2,1,3,2,2,1,500,1,1,20,22,22,19,22,22,22,1,19,22,22,20,21,20,21,19,22,19,1,7,10,1,2,24,USA,Athiest,3,,7,4,4,,1,See how people make decisions based on their personality in a leadership role?,No,No,1,1,,,,,39.270401000977,-94.464599609375,-1,
R_SUdPv8c6k1t9tip,Live,Anonymous,,,209.133.35.2,0,2016-01-11 10:15:08,2016-01-11 10:21:21,1,37,5.2857142857143,0.48795003647427,26,3.7142857142857,0.48795003647427,16,2.6666666666667,1.0327955589886,6,0.6,0.51639777949432,,United States,VA,0,1,1,1,,1,0,0,60.465,0,,1,I remember when I was employed at Walmart and my manager had power over me. He would tell me what to do and how to act and when I could take my breaks. I resented him because he was not very nice. I was never allowed to do anything fun while on the job.,36.81,36.81,79.993,1,1,23,23,20,23,21,23,20,1,3,2,4,3,3,1,0,1,1,20,22,22,20,22,21,21,1,19,19,21,22,19,20,21,19,22,21,1,5,10,1,2,30,USA,Christian,3,,3,4,5,,1,I think that the purpose was to give others raffle tickets for the prize,I do not think the essay I wrote affected my answers to any of the questions,none,1,1,,,,,38.999496459961,-77.528602600098,-1,
R_1QMGDANYKPERG6T,Live,Anonymous,,,75.121.251.235,0,2016-01-11 10:13:31,2016-01-11 10:21:40,1,20,2.8571428571429,1.6761634196951,33,4.7142857142857,0.75592894601845,16,2.6666666666667,1.0327955589886,8,0.8,0.42163702135578,,United States,MO,1,1,1,1,1,,0,0,60.006,0,1,,I felt very responsible. I felt a lot of pressure. I did not feel near as in control as one would expect. It was very uncomfortable and unpleasant.,4.145,4.145,55.592,1,1,21,22,24,19,24,20,20,2,4,2,4,2,2,1,332,1,1,19,23,23,21,23,23,23,1,20,20,21,20,21,20,21,19,22,20,1,7,10,1,2,39,USA,Christian,3,,3,4,6,,1,"How people judge others based on their own feelings of, or lack thereof, power.","Possibly, but I'm really not sure.",No thank you.,1,1,,,,,39.733993530273,-94.222801208496,-1,
R_3qTKZI4OsCJOXrY,Live,Anonymous,,,64.250.209.121,0,2016-01-11 10:12:18,2016-01-11 10:22:15,1,33,4.7142857142857,1.4960264830862,32,4.5714285714286,0.53452248382485,15,2.5,0.83666002653408,7,0.7,0.48304589153965,,United States,OK,0,1,1,1,,1,0,0,60.229,0,,1,A time when someone had power over me was my last employer. She had the power to take away my job and used that power to her advantage. I felt like I was irritated and wanted to quit because I don't think anyone has control over me and whoever feels like they do I do not want to be associated with.,1.438,95.633,96.227,2,1,22,23,23,25,23,23,20,1,3,2,3,3,3,1,193,1,1,19,23,23,20,22,23,22,1,19,20,21,20,21,21,21,19,21,20,1,6,10,1,2,30,USA,NA,3,,4,4,3,,1,To see how many people are considerate towards others,no,no,1,1,,,,,35.123992919922,-97.670700073242,-1,
R_2fHjdoZRms8inaA,Live,Anonymous,,,104.156.240.203,0,2016-01-11 10:12:57,2016-01-11 10:23:11,1,26,3.7142857142857,0.95118973121134,26,3.7142857142857,0.75592894601845,15,2.5,0.83666002653408,8,0.8,0.42163702135578,,United States,FL,1,1,1,1,1,,0,0,60.02,0,1,,I had power to continue a relationship or ended. I was in a position to end my long time romantic relationship and move out of state. The person I was with was begging me to stay and willing to make a lot of changes to keep me there. I felt torn. I decided to stay with them. ,36.506,36.506,104.07,1,1,22,21,23,21,23,23,21,1,3,2,3,3,3,1,292,1,1,20,22,22,22,22,22,22,1,19,20,21,19,21,20,20,19,22,19,1,4,10,1,2,29,United States,None,3,,7,4,4,,1,To understand how people judge each other,I don't think it effected my answers because I really didn't think about the essay when I was answering. ,No,1,1,,,,,25.812393188477,-80.240097045898,-1,
R_2zpCKenbiyHgPy1,Live,Anonymous,,,72.237.151.251,0,2016-01-11 10:14:11,2016-01-11 10:24:04,1,24,3.4285714285714,0.53452248382485,31,4.4285714285714,0.78679579246944,14,2.3333333333333,1.0327955589886,8,0.8,0.42163702135578,,United States,VA,1,1,1,1,1,,0,0,60.04,0,1,,"As a former teacher, I had power like this almost everyday. I would evaluate students' knowledge and whether or not they were ready to continue through school. It was nerve-wracking to have to make those decisions. I always felt there was something else I should offer the students. I never felt good about the power.",2.928,2.928,94.568,1,1,21,22,22,21,23,21,22,2,4,1,2,3,2,1,500,1,1,19,23,23,21,22,23,22,1,19,20,21,21,21,20,20,19,22,19,1,6,10,1,2,27,USA,atheist,3,,6,4,4,,1,How power may affect one's decision to trust another.,Not really.,no,1,1,,,,,37.619201660156,-77.496002197266,-1,
R_2UVnS8b78Wd6PLJ,Live,Anonymous,,,104.129.196.65,0,2016-01-11 10:17:15,2016-01-11 10:24:23,1,33,4.7142857142857,0.75592894601845,28,4,0,13,2.1666666666667,0.75277265270908,7,0.7,0.48304589153965,,United States,IL,0,1,1,1,,1,35.564,50.875,60.009,15,,1,"A coworker was new here and I trained them to be under me and help with my job and daily tasks. After a year, they had sucked up to the higher-ups so much that they ended up with a higher role than I have. I have asked if I could get a higher role too and now she controls whether I do or not.",3.116,3.116,53.594,1,1,23,23,22,23,22,24,22,1,2,2,3,3,2,1,815,1,1,20,22,22,20,22,22,22,1,20,21,21,20,20,20,21,19,22,19,1,3,10,1,2,24,USA,catholic,3,,3,4,5,,1,how trusting and giving to a stranger makes you feel,"not really, maybe made me a bit angry but didn't affect my choice",no,1,1,,,,,41.850006103516,-87.650001525879,-1,
R_1DUT8Ogs4wq2WUX,Live,Anonymous,,,207.58.243.107,0,2016-01-11 10:13:11,2016-01-11 10:24:28,1,31,4.4285714285714,0.78679579246944,25,3.5714285714286,0.78679579246944,16,2.6666666666667,0.51639777949432,4,0.4,0.51639777949432,,United States,OH,0,1,1,1,,1,0,0,60.036,0,,1,I had an account where I made a percentage of the increase and profits every year. And one year before I got paid it increased so much that it got turned into a house account and I wasnt going to get paid on it going forward. I felt like I was betrayed and back stabbed by the company. I was very angry and felt revengeful and wanted to find another job. ,1.664,1.664,107.458,1,1,22,21,21,22,21,23,21,2,3,2,3,3,3,1,525,1,1,20,20,21,20,22,22,22,1,20,20,20,20,19,20,20,19,20,22,1,4,10,1,1,35,US,catholic,3,,3,4,6,,1,how peoples experiences envoke their emotions in their current state when thinking about them,"yes, I think it mad me more emotional and angry than normal",no,1,1,,,,,41.315200805664,-81.440498352051,-1,
R_r0CYwiIO68qZrrz,Live,Anonymous,,,46.21.154.83,0,2016-01-11 10:13:44,2016-01-11 10:24:32,1,12,1.7142857142857,0.75592894601845,29,4.1428571428571,1.4638501094228,12,2,0,5,0.5,0.52704627669473,,United States,,0,,1,1,,1,0,0,60.003,0,,1,"When I interviewed for Walls Fargo. I felt confident, but less professional than they were. I did two individual interviews and then an interview with both people. I was feeling very worn out by the end of the day. ",6.294,6.294,90.933,1,1,20,19,25,20,23,19,24,2,2,2,2,2,2,1,150,1,1,23,23,23,19,22,23,22,1,19,22,19,22,21,20,20,21,22,19,1,5,10,1,2,31,USA,None,3,,6,3,2,,1,The willingness to give items in return. The ability to read faces or not. ,no,Odd make up of random questions. ,1,1,,,,,38,-97,-1,
